id_cliente;nome;cidade_origem;estado_origem;faixa_etaria;tipo_cliente
63;Daniela Ramos;Belo Horizonte;MG;65+;Pessoa Física
64;Patricia Vaz;Fortaleza;CE;18-25;Pessoa Física
65;Diego Ferreira;Brasília;DF;26-35;Pessoa Física
66;Wilson Duarte;Fortaleza;CE;56-65;Corporativo
67;Carlos Neto;Salvador;BA;26-35;Corporativo
68;Carlos Neto;São Paulo;SP;65+;Corporativo
69;Isabela Martins;Recife;PE;Não Informado;Corporativo
70;Victor Gomes;Rio de Janeiro;RJ;46-55;Corporativo
71;Wilson Duarte;Recife;PE;46-55;Corporativo
72;Ivan Azevedo;Recife;PE;65+;Pessoa Física
73;Victor Gomes;Rio de Janeiro;RJ;65+;Corporativo
74;Zara Moraes;Belo Horizonte;MG;56-65;Pessoa Física
75;Diego Ferreira;Recife;PE;46-55;Corporativo
76;Rafael Cardoso;Rio de Janeiro;RJ;46-55;Corporativo
77;Wesley Araujo;Curitiba;PR;65+;Pessoa Física
78;Marina Barbosa;Curitiba;PR;18-25;Pessoa Física
79;Daniela Ramos;São Paulo;SP;36-45;Corporativo
80;Ximena Godoi;Recife;PE;26-35;Corporativo
81;Zara Moraes;Salvador;BA;26-35;Pessoa Física
82;Roberta Leite;Brasília;DF;18-25;Pessoa Física
83;Ana Silva;Fortaleza;CE;46-55;Corporativo
84;Tatiana Coelho;Fortaleza;CE;46-55;Pessoa Física
85;Daniela Ramos;Salvador;BA;65+;Corporativo
86;Carlos Neto;Fortaleza;CE;46-55;Corporativo
87;Nicolas Cunha;Rio de Janeiro;RJ;36-45;Corporativo
88;Helena Borges;Fortaleza;CE;18-25;Pessoa Física
89;Patricia Vaz;Curitiba;PR;46-55;Corporativo
90;Thiago Matos;Brasília;DF;56-65;Corporativo
91;Wesley Araujo;Brasília;DF;46-55;Corporativo
92;Henrique Rocha;Salvador;BA;56-65;Pessoa Física
93;Gabriela Lima;Belo Horizonte;MG;Não Informado;Corporativo
95;Gabriela Lima;Rio de Janeiro;RJ;18-25;Corporativo
96;Quezia Nunes;Rio de Janeiro;RJ;Não Informado;Pessoa Física
97;João Pereira;Recife;PE;56-65;Corporativo
98;Marcos Andrade;Salvador;BA;56-65;Pessoa Física
99;Larissa Sousa;Curitiba;PR;36-45;Pessoa Física
100;Otavio Reis;Rio de Janeiro;RJ;Não Informado;Pessoa Física
101;Abel Correia;Fortaleza;CE;65+;Corporativo
102;Elena Santos;Curitiba;PR;26-35;Corporativo
103;Beatriz Dias;São Paulo;SP;56-65;Pessoa Física
104;Diego Ferreira;Recife;PE;36-45;Corporativo
105;Rafael Cardoso;Brasília;DF;56-65;Corporativo
106;Marcos Andrade;Rio de Janeiro;RJ;18-25;Pessoa Física
107;Wilson Duarte;Fortaleza;CE;36-45;Pessoa Física
108;Rafael Cardoso;Brasília;DF;Não Informado;Corporativo
109;Abel Correia;Salvador;BA;36-45;Pessoa Física
110;Quincy Braga;Recife;PE;56-65;Pessoa Física
111;Gustavo Vieira;Fortaleza;CE;18-25;Corporativo
112;Otavio Reis;Fortaleza;CE;18-25;Pessoa Física
114;Felipe Oliveira;Salvador;BA;18-25;Corporativo
115;Gustavo Vieira;Belo Horizonte;MG;36-45;Corporativo
116;Yuri Castro;Recife;PE;56-65;Pessoa Física
117;Victor Gomes;Fortaleza;CE;56-65;Corporativo
118;João Pereira;Fortaleza;CE;56-65;Corporativo
119;Ursula Pinto;Rio de Janeiro;RJ;26-35;Pessoa Física
120;Ursula Pinto;Belo Horizonte;MG;46-55;Corporativo
121;Fernanda Cruz;Fortaleza;CE;26-35;Corporativo
122;Ana Silva;Salvador;BA;Não Informado;Corporativo
123;Victor Gomes;Recife;PE;65+;Corporativo
124;Ursula Pinto;Salvador;BA;Não Informado;Corporativo
125;Olivia Freitas;São Paulo;SP;18-25;Corporativo
126;Carlos Neto;Salvador;BA;65+;Corporativo
127;Wesley Araujo;Belo Horizonte;MG;46-55;Pessoa Física
128;Karen Alves;Belo Horizonte;MG;18-25;Corporativo
129;Olivia Freitas;Fortaleza;CE;65+;Corporativo
130;Sara Teixeira;Salvador;BA;56-65;Pessoa Física
131;Otavio Reis;Fortaleza;CE;65+;Corporativo
132;Gabriela Lima;Recife;PE;46-55;Corporativo
133;Rafael Cardoso;Salvador;BA;56-65;Pessoa Física
134;Ximena Godoi;Belo Horizonte;MG;26-35;Corporativo
135;Otavio Reis;Belo Horizonte;MG;65+;Pessoa Física
136;Felipe Oliveira;Brasília;DF;36-45;Corporativo
137;Helena Borges;Salvador;BA;36-45;Pessoa Física
138;Vanessa Cavalcanti;Curitiba;PR;36-45;Pessoa Física
139;Roberta Leite;Recife;PE;65+;Corporativo
140;Ana Silva;Recife;PE;56-65;Pessoa Física
141;Otavio Reis;Brasília;DF;18-25;Pessoa Física
142;Natalia Campos;Recife;PE;65+;Pessoa Física
143;Henrique Rocha;Belo Horizonte;MG;Não Informado;Pessoa Física
144;Yuri Castro;São Paulo;SP;36-45;Corporativo
145;Fernanda Cruz;Curitiba;PR;46-55;Corporativo
146;Xuxa Farias;Recife;PE;65+;Corporativo
147;Rafael Cardoso;Rio de Janeiro;RJ;18-25;Corporativo
148;Diego Ferreira;Curitiba;PR;36-45;Pessoa Física
149;Larissa Sousa;Salvador;BA;26-35;Corporativo
150;João Pereira;Belo Horizonte;MG;56-65;Corporativo
151;Ana Silva;Recife;PE;26-35;Corporativo
152;Helena Borges;São Paulo;SP;65+;Pessoa Física
153;Carlos Neto;Salvador;BA;26-35;Pessoa Física
155;Fernanda Cruz;Belo Horizonte;MG;46-55;Pessoa Física
156;Rafael Cardoso;Recife;PE;65+;Corporativo
157;Gabriela Lima;Curitiba;PR;65+;Pessoa Física
158;Beatriz Dias;São Paulo;SP;26-35;Corporativo
159;Ursula Pinto;São Paulo;SP;36-45;Corporativo
160;Felipe Oliveira;Belo Horizonte;MG;18-25;Pessoa Física
161;Julia Monteiro;Recife;PE;56-65;Corporativo
162;Ulisses Brito;Fortaleza;CE;36-45;Corporativo
164;Beatriz Dias;Rio de Janeiro;RJ;56-65;Pessoa Física
165;Lucas Souza;Belo Horizonte;MG;65+;Corporativo
166;Kleber Pires;Curitiba;PR;Não Informado;Pessoa Física
167;Yuri Castro;São Paulo;SP;46-55;Corporativo
168;Diego Ferreira;Fortaleza;CE;26-35;Pessoa Física
169;Marcos Andrade;São Paulo;SP;46-55;Corporativo
170;Sara Teixeira;Rio de Janeiro;RJ;65+;Corporativo
171;Ana Silva;São Paulo;SP;36-45;Pessoa Física
172;Ana Silva;Brasília;DF;65+;Corporativo
173;Elena Santos;Brasília;DF;Não Informado;Pessoa Física
174;Kleber Pires;Rio de Janeiro;RJ;56-65;Corporativo
175;Ursula Pinto;São Paulo;SP;Não Informado;Corporativo
176;Paulo Ribeiro;Brasília;DF;56-65;Corporativo
177;Olivia Freitas;Brasília;DF;26-35;Pessoa Física
178;Wesley Araujo;Belo Horizonte;MG;65+;Pessoa Física
179;Wilson Duarte;Fortaleza;CE;65+;Pessoa Física
180;Roberta Leite;São Paulo;SP;65+;Corporativo
181;Eduardo Lopes;São Paulo;SP;65+;Corporativo
182;Thiago Matos;São Paulo;SP;Não Informado;Pessoa Física
183;Natalia Campos;Rio de Janeiro;RJ;56-65;Corporativo
184;Carlos Neto;Rio de Janeiro;RJ;56-65;Pessoa Física
185;Carlos Neto;Fortaleza;CE;36-45;Pessoa Física
186;Carlos Neto;Brasília;DF;56-65;Pessoa Física
187;Roberta Leite;Salvador;BA;18-25;Corporativo
188;Quezia Nunes;Brasília;DF;65+;Pessoa Física
189;Thiago Matos;Recife;PE;Não Informado;Corporativo
190;Patricia Vaz;São Paulo;SP;36-45;Pessoa Física
191;Patricia Vaz;Brasília;DF;46-55;Corporativo
192;Ximena Godoi;São Paulo;SP;26-35;Pessoa Física
193;Gustavo Vieira;Recife;PE;56-65;Pessoa Física
194;João Pereira;Curitiba;PR;26-35;Pessoa Física
195;Carlos Neto;Fortaleza;CE;36-45;Corporativo
196;Marina Barbosa;Recife;PE;65+;Corporativo
197;Karen Alves;Brasília;DF;26-35;Pessoa Física
198;Julia Monteiro;Belo Horizonte;MG;65+;Pessoa Física
199;Beatriz Dias;Recife;PE;26-35;Corporativo
200;Gustavo Vieira;São Paulo;SP;Não Informado;Corporativo
201;Tatiana Coelho;Belo Horizonte;MG;36-45;Pessoa Física
202;Wilson Duarte;Curitiba;PR;Não Informado;Corporativo
203;João Pereira;Rio de Janeiro;RJ;65+;Corporativo
204;Paulo Ribeiro;Rio de Janeiro;RJ;65+;Corporativo
205;Otavio Reis;Brasília;DF;Não Informado;Pessoa Física
206;Paulo Ribeiro;São Paulo;SP;46-55;Pessoa Física
207;Helena Borges;Brasília;DF;56-65;Pessoa Física
208;Quezia Nunes;São Paulo;SP;18-25;Corporativo
209;Ximena Godoi;Belo Horizonte;MG;65+;Corporativo
210;Ximena Godoi;Fortaleza;CE;Não Informado;Corporativo
211;Carla Mendes;Salvador;BA;26-35;Pessoa Física
212;Gustavo Vieira;Brasília;DF;56-65;Corporativo
213;Ximena Godoi;Recife;PE;65+;Corporativo
214;Vanessa Cavalcanti;Salvador;BA;46-55;Corporativo
215;Felipe Oliveira;Salvador;BA;46-55;Pessoa Física
216;Ursula Pinto;Recife;PE;18-25;Corporativo
217;Karen Alves;Recife;PE;46-55;Corporativo
218;Rafael Cardoso;Belo Horizonte;MG;18-25;Pessoa Física
219;Bruno Costa;Brasília;DF;56-65;Corporativo
220;Xuxa Farias;Brasília;DF;56-65;Pessoa Física
221;Carlos Neto;Curitiba;PR;18-25;Pessoa Física
222;Henrique Rocha;Salvador;BA;65+;Pessoa Física
223;Ximena Godoi;Fortaleza;CE;65+;Corporativo
224;Marina Barbosa;São Paulo;SP;26-35;Pessoa Física
226;Karen Alves;Curitiba;PR;65+;Pessoa Física
227;Isabela Martins;Belo Horizonte;MG;46-55;Pessoa Física
228;Natalia Campos;Recife;PE;18-25;Corporativo
229;Ximena Godoi;Fortaleza;CE;Não Informado;Pessoa Física
230;Roberta Leite;Belo Horizonte;MG;36-45;Pessoa Física
231;Ximena Godoi;Belo Horizonte;MG;46-55;Pessoa Física
232;Ursula Pinto;São Paulo;SP;26-35;Corporativo
233;Quezia Nunes;Belo Horizonte;MG;65+;Corporativo
234;Larissa Sousa;Rio de Janeiro;RJ;26-35;Pessoa Física
235;Bruno Costa;Rio de Janeiro;RJ;18-25;Corporativo
236;Fernanda Cruz;Recife;PE;56-65;Corporativo
237;Thiago Matos;Brasília;DF;18-25;Pessoa Física
238;Marcos Andrade;Belo Horizonte;MG;36-45;Corporativo
239;Wilson Duarte;Curitiba;PR;56-65;Pessoa Física
240;João Pereira;Belo Horizonte;MG;18-25;Corporativo
241;Ursula Pinto;Fortaleza;CE;65+;Corporativo
242;Fernanda Cruz;Curitiba;PR;46-55;Pessoa Física
243;Nicolas Cunha;Fortaleza;CE;36-45;Pessoa Física
244;Sara Teixeira;Recife;PE;18-25;Pessoa Física
245;Xuxa Farias;São Paulo;SP;46-55;Pessoa Física
246;Yuri Castro;Belo Horizonte;MG;46-55;Corporativo
247;Gabriela Lima;Recife;PE;36-45;Corporativo
248;Gustavo Vieira;Fortaleza;CE;18-25;Pessoa Física
249;João Pereira;Salvador;BA;56-65;Pessoa Física
250;Larissa Sousa;Brasília;DF;56-65;Corporativo
251;Victor Gomes;Rio de Janeiro;RJ;18-25;Corporativo
252;Marcos Andrade;Recife;PE;36-45;Pessoa Física
253;João Pereira;Rio de Janeiro;RJ;65+;Pessoa Física
254;Carlos Neto;Fortaleza;CE;46-55;Pessoa Física
255;Vanessa Cavalcanti;Fortaleza;CE;18-25;Pessoa Física
257;Natalia Campos;Salvador;BA;26-35;Pessoa Física
258;Ximena Godoi;Salvador;BA;65+;Pessoa Física
259;Sara Teixeira;Belo Horizonte;MG;56-65;Corporativo
260;Sara Teixeira;Fortaleza;CE;36-45;Pessoa Física
261;Nicolas Cunha;Curitiba;PR;56-65;Corporativo
262;Paulo Ribeiro;Fortaleza;CE;65+;Pessoa Física
263;Gabriela Lima;Fortaleza;CE;26-35;Pessoa Física
264;Eduardo Lopes;São Paulo;SP;26-35;Corporativo
265;Patricia Vaz;Belo Horizonte;MG;26-35;Pessoa Física
266;Carla Mendes;Salvador;BA;46-55;Corporativo
267;Carla Mendes;Fortaleza;CE;36-45;Pessoa Física
268;Isabela Martins;Fortaleza;CE;56-65;Corporativo
269;Patricia Vaz;Curitiba;PR;65+;Pessoa Física
270;Lucas Souza;São Paulo;SP;Não Informado;Corporativo
271;Lucas Souza;Fortaleza;CE;46-55;Corporativo
272;Wilson Duarte;Brasília;DF;36-45;Corporativo
273;Samuel Fonseca;Salvador;BA;18-25;Pessoa Física
274;Samuel Fonseca;Fortaleza;CE;65+;Corporativo
275;João Pereira;Curitiba;PR;65+;Corporativo
276;Wilson Duarte;São Paulo;SP;65+;Pessoa Física
277;Diego Ferreira;Fortaleza;CE;56-65;Pessoa Física
278;Henrique Rocha;Fortaleza;CE;26-35;Corporativo
279;Isabela Martins;Salvador;BA;46-55;Corporativo
280;Ulisses Brito;Rio de Janeiro;RJ;46-55;Corporativo
281;Beatriz Dias;Fortaleza;CE;65+;Pessoa Física
282;Carla Mendes;Recife;PE;46-55;Pessoa Física
283;Xuxa Farias;Belo Horizonte;MG;46-55;Corporativo
284;Patricia Vaz;Curitiba;PR;36-45;Pessoa Física
285;Ana Silva;Recife;PE;18-25;Corporativo
286;Olivia Freitas;São Paulo;SP;46-55;Corporativo
287;Carla Mendes;Curitiba;PR;65+;Corporativo
288;Nicolas Cunha;Curitiba;PR;18-25;Pessoa Física
289;Vanessa Cavalcanti;Rio de Janeiro;RJ;46-55;Corporativo
290;Isabela Martins;Brasília;DF;36-45;Pessoa Física
291;Paulo Ribeiro;Belo Horizonte;MG;26-35;Pessoa Física
292;Otavio Reis;Recife;PE;46-55;Corporativo
293;Helena Borges;Fortaleza;CE;65+;Corporativo
294;Paulo Ribeiro;Rio de Janeiro;RJ;26-35;Corporativo
295;Julia Monteiro;São Paulo;SP;46-55;Pessoa Física
296;Carlos Neto;Recife;PE;Não Informado;Pessoa Física
297;Roberta Leite;Curitiba;PR;56-65;Pessoa Física
298;Eduardo Lopes;São Paulo;SP;36-45;Corporativo
299;Vanessa Cavalcanti;Curitiba;PR;46-55;Pessoa Física
300;Julia Monteiro;Brasília;DF;36-45;Corporativo
401;Carlos Neto;Niterói;RJ;36-45;Corporativo
301;Alexandre Bittencourt;Lisboa;EX;36-45;Corporativo
302;Beatriz Falcão;Belo Horizonte;MG;26-35;Pessoa Física
303;Caio Serpa;Belo Horizonte;MG;36-45;Corporativo
304;Débora Vasconcelos;Miami;EX;Não Informado;Pessoa Física
305;Eduardo Mourão;Buenos Aires;EX;46-55;Corporativo
306;Fabiana Restier;Porto Alegre;RS;46-55;Pessoa Física
307;Gustavo Peixoto;Nova York;EX;56-65;Corporativo
308;Helena Quintela;Brasília;DF;36-45;Corporativo
309;Igor Salgado;Brasília;DF;56-65;Corporativo
310;Joana Villar;Porto Alegre;RS;36-45;Corporativo
311;Kleber Andrade Neto;Curitiba;PR;26-35;Corporativo
312;Larissa Monteverde;São Paulo;SP;26-35;Corporativo
313;Marcelo Trindade;Rio de Janeiro;RJ;26-35;Pessoa Física
314;Natália Ferraz;Brasília;DF;46-55;Pessoa Física
315;Otávio Camargo;Nova York;EX;26-35;Corporativo
316;Priscila Guimarães;Lisboa;EX;Não Informado;Pessoa Física
317;Rodrigo Vasques;Rio de Janeiro;RJ;36-45;Pessoa Física
318;Sabrina Leitão;Brasília;DF;46-55;Pessoa Física
319;Thiago Bicalho;Belo Horizonte;MG;46-55;Corporativo
320;Vivian Lacerda;Buenos Aires;EX;56-65;Corporativo
